     1  0.1140936E-02
     2  0.7247348E-03
     3  0.4966256E-03
     4  0.3659997E-03
     5  0.2898719E-03
     6  0.2415513E-03
     7  0.2059211E-03
     8  0.1776296E-03
     9  0.1549189E-03
    10  0.1362991E-03
    11  0.1208784E-03
    12  0.1079621E-03
    13  0.9700847E-04
    14  0.8763406E-04
    15  0.7953683E-04
    16  0.7250079E-04
    17  0.6633930E-04
    18  0.6091494E-04
    19  0.5610602E-04
    20  0.5182195E-04
    21  0.4798517E-04
    22  0.4452956E-04
    23  0.4140081E-04
    24  0.3856043E-04
    25  0.3597434E-04
    26  0.3361089E-04
    27  0.3144453E-04
    28  0.2945297E-04
    29  0.2761910E-04
    30  0.2592619E-04
    31  0.2436118E-04
    32  0.2291085E-04
    33  0.2156565E-04
    34  0.2031559E-04
    35  0.1915274E-04
    36  0.1807036E-04
    37  0.1706080E-04
    38  0.1611966E-04
    39  0.1523990E-04
    40  0.1441774E-04
    41  0.1364720E-04
    42  0.1292316E-04
    43  0.1224007E-04
    44  0.1159003E-04
    45  0.1096277E-04
    46  0.1035132E-04
    47  0.9758638E-05
    48  0.9186547E-05
    49  0.8612402E-05
    50  0.8041131E-05
    51  0.7478231E-05
    52  0.6879586E-05
    53  0.6183387E-05
    54  0.5336379E-05
    55  0.4345249E-05
    56  0.3327685E-05
    57  0.2395292E-05
    58  0.1625099E-05
    59  0.1032610E-05
    60  0.6355366E-06
    61  0.4224275E-06
    62  0.2857430E-06
    63  0.1724344E-06
    64  0.6430339E-07
    65  0.2091036E-07
    66  0.1473334E-07
    67  0.7443410E-08
    68  0.6216402E-08
    69  0.5063502E-08
    70  0.3608860E-08
    71  0.2612189E-08
    72  0.1631612E-08
    73  0.1026902E-08
    74  0.5823167E-09
    75  0.1437245E-09
    76  0.5571084E-10
     1  0.2827969E-05
     2  0.2661183E-05
     3  0.2376148E-05
     4  0.2096146E-05
     5  0.1842257E-05
     6  0.1622401E-05
     7  0.1431678E-05
     8  0.1268840E-05
     9  0.1129073E-05
    10  0.1009248E-05
    11  0.9058481E-06
    12  0.8163640E-06
    13  0.7384613E-06
    14  0.6703699E-06
    15  0.6105404E-06
    16  0.5577670E-06
    17  0.5109835E-06
    18  0.4694015E-06
    19  0.4323658E-06
    20  0.3992204E-06
    21  0.3693908E-06
    22  0.3425037E-06
    23  0.3182342E-06
    24  0.2962495E-06
    25  0.2762522E-06
    26  0.2580115E-06
    27  0.2413295E-06
    28  0.2260402E-06
    29  0.2119969E-06
    30  0.1990664E-06
    31  0.1871299E-06
    32  0.1760900E-06
    33  0.1658660E-06
    34  0.1563855E-06
    35  0.1475837E-06
    36  0.1393994E-06
    37  0.1317791E-06
    38  0.1246740E-06
    39  0.1180402E-06
    40  0.1118345E-06
    41  0.1060135E-06
    42  0.1005393E-06
    43  0.9537437E-07
    44  0.9048595E-07
    45  0.8584336E-07
    46  0.8136358E-07
    47  0.7650884E-07
    48  0.7051556E-07
    49  0.6434647E-07
    50  0.5711230E-07
    51  0.4924347E-07
    52  0.4164011E-07
    53  0.3421330E-07
    54  0.2799465E-07
    55  0.2228590E-07
    56  0.1909576E-07
    57  0.1649799E-07
    58  0.1465574E-07
    59  0.1321237E-07
    60  0.1203431E-07
    61  0.1104325E-07
    62  0.1010362E-07
    63  0.9215163E-08
    64  0.7453425E-08
    65  0.6318581E-08
    66  0.5721284E-08
    67  0.3798133E-08
    68  0.2148939E-08
    69  0.1268398E-08
    70  0.4893148E-09
    71  0.6566545E-10
     1  0.1643379E-09
     2  0.1240122E-09
     3  0.9219039E-10
