     1  0.1140542E-02
     2  0.7245868E-03
     3  0.4965940E-03
     4  0.3661019E-03
     5  0.2900979E-03
     6  0.2417967E-03
     1  0.1957049E-03
     1  0.1914022E-03
     2  0.1673803E-03
     3  0.1487936E-03
     4  0.1325739E-03
     5  0.1178482E-03
     6  0.1051811E-03
     7  0.9380507E-04
     8  0.8522867E-04
     9  0.7755971E-04
    10  0.7118469E-04
    11  0.6544721E-04
    12  0.6040332E-04
    13  0.5581980E-04
    14  0.5165652E-04
    15  0.4794488E-04
    16  0.4457665E-04
    17  0.4152977E-04
    18  0.3875468E-04
    19  0.3624517E-04
    20  0.3394822E-04
    21  0.3184322E-04
    22  0.2989189E-04
    23  0.2809596E-04
    24  0.2642681E-04
    25  0.2488397E-04
    26  0.2344958E-04
    27  0.2211824E-04
     1  0.2048294E-04
     1  0.1985751E-04
     2  0.1887497E-04
     3  0.1798457E-04
     4  0.1712640E-04
     5  0.1631669E-04
     6  0.1553022E-04
     7  0.1479479E-04
     8  0.1408548E-04
     9  0.1342442E-04
    10  0.1277295E-04
    11  0.1214187E-04
    12  0.1151202E-04
    13  0.1089514E-04
    14  0.1025090E-04
    15  0.9603401E-05
    16  0.8951843E-05
    17  0.8286644E-05
    18  0.7573549E-05
    19  0.6754923E-05
    20  0.5847570E-05
    21  0.4938747E-05
    22  0.4101443E-05
    23  0.3401894E-05
    24  0.2835867E-05
    25  0.2422835E-05
    26  0.2130355E-05
     1  0.1882632E-05
     1  0.1654615E-05
     2  0.1383725E-05
     3  0.1115812E-05
     4  0.9251047E-06
     5  0.7883631E-06
     6  0.6938759E-06
     7  0.5942890E-06
     8  0.5373579E-06
     9  0.4841836E-06
    10  0.4401485E-06
    11  0.4027130E-06
    12  0.3672617E-06
    13  0.3352496E-06
    14  0.3033376E-06
    15  0.2776147E-06
    16  0.2499039E-06
    17  0.2204750E-06
    18  0.1800481E-06
     1  0.1559242E-06
     1  0.1361851E-06
     2  0.1181089E-06
     3  0.1030599E-06
     4  0.8926558E-07
     5  0.7741064E-07
     6  0.6727019E-07
     7  0.5835891E-07
     8  0.5201135E-07
     9  0.4706844E-07
    10  0.3984563E-07
    11  0.3267592E-07
    12  0.2968613E-07
    13  0.2721109E-07
    14  0.2376053E-07
    15  0.2131823E-07
    16  0.1847680E-07
    17  0.1618035E-07
     1  0.1492919E-07
     1  0.1391582E-07
     2  0.1248236E-07
     3  0.1147719E-07
     4  0.1043734E-07
     5  0.9514923E-08
     6  0.8616610E-08
     7  0.7791948E-08
     8  0.7120785E-08
     9  0.6607368E-08
    10  0.6223641E-08
    11  0.5946220E-08
    12  0.5747039E-08
    13  0.5579960E-08
    14  0.5391952E-08
    15  0.5235253E-08
    16  0.5086030E-08
    17  0.4886291E-08
    18  0.4731382E-08
    19  0.4516308E-08
    20  0.4178000E-08
    21  0.3758367E-08
    22  0.3254123E-08
    23  0.2470917E-08
    24  0.1641883E-08
    25  0.1107334E-08
     1  0.8800292E-09
     1  0.7673954E-09
     2  0.6436344E-09
     3  0.5493675E-09
     4  0.4910223E-09
     5  0.4520636E-09
     6  0.4127060E-09
     7  0.3770866E-09
     8  0.3456531E-09
     9  0.3140549E-09
    10  0.2812404E-09
    11  0.2462731E-09
    12  0.2098062E-09
    13  0.1843646E-09
    14  0.1644304E-09
    15  0.1502727E-09
    16  0.1386142E-09
    17  0.1307330E-09
    18  0.1249437E-09
    19  0.1211085E-09
    20  0.1179929E-09
    21  0.1148009E-09
    22  0.1115107E-09
    23  0.1079162E-09
     1  0.1045930E-09
     2  0.1021539E-09
     3  0.9947220E-10
